Job_Title,Company,Location,Summary,Salary
Executive - Human Resources,Varuna Integrated Logistics,,"Location Corporate Office, Gurgaon, Haryana, India (VL0047).",
"HR & LEGAL Inchrage
new",ASTHRA PROJECTS GROUP,,"Filtering the resumes and send across to the Technical Team for the further interview process.
Salary: ₹9,182.00 - ₹27,448.00 per month.","₹9,182 - ₹27,448 a month"
Human Resources Shared Services Specialist,Cerner Corporation,,"As a Human Resources Shared Services Specialist, you are responsible to provide first point of contact and exceptional customer service to associates via…",
Talent Acquisition Consultant,Wise Monk,,"5.Plan interview and selection procedures, including screening calls, assessments and in-person interviews.
We are looking for a TA lead to hire experienced and…","₹5,00,000 a year"
"Sr Mgr, Human Resources",BAXTER,,"If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application or interview process, please send an e…",
Human Resources Manager,Esfita Infotech Pvt. Ltd.,,"Manage the recruitment and selection process.
Salary: ₹23,695.00 - ₹33,796.00 per month.
Oversee daily operations of the business unit or organization.","₹23,695 - ₹33,796 a month"
"HR Operations Manager
new",Magnus Hotels and Apartments,,"Salary: ₹22,000.00 - ₹30,000.00 per month.
Will be the one point of contact in the hotel.
Should be able to manage the entire HR Ops single handedly.","₹22,000 - ₹30,000 a month"
Human Resources Manager,LPB Solutions Pvt. Ltd.,,"Manage the recruitment and selection process.
Salary: ₹13,379.00 - ₹35,008.00 per month.
Oversee daily operations of the business unit or organization.","₹13,379 - ₹35,008 a month"
"Human Resources Officer
new",Jordan Enterprises,,"Salary: ₹18,000.00 - ₹20,000.00 per month.
Who could manage the attendance, payroll etc. for a reputed company with Attractive salary.","₹18,000 - ₹20,000 a month"
"Human Resource - AVP
new",STAY VISTA PVT. LTD,,"As a proud community of 400+ second home owners and 250,000 travelers, we are renowned for delivering memorable experiences at our growing number of unique…","₹1,00,000 - ₹1,08,333 a month"
Talent acquisition specialist(Freelancer),Wise Monk,,"Plan interview and selection procedures, including screening calls, assessments and in-person interviews.
Design job descriptions and interview questions that…",
"HR Manager
new",Rudraksha Fire Security Services,,"Scan through the resume and do the initial screening.
Responsible for onboarding and assisting the recruitment team in hiring the right candidates based on the…","₹6,50,000 a year"
"Manager, Human Resources
new",Parexel,,"Undertakes the full range of duties relevant to the leadership, management and development of his team to ensure their performance meets and or exceed both the…",
Human Resources Manager,Wopt Solutions Pvt. Ltd.,,"Human resources: 1 year (Preferred).
Manage the recruitment and selection process.
Salary: ₹23,695.00 - ₹33,796.00 per month.
Job Types: Part-time, Fresher.","₹23,695 - ₹33,796 a month"
Human Resources Business Partner,opentext,,Develop workforce plans and understand external customer trends and issues in the industry that could potentially impact the business.,
"AI Lead, Human Resource
new",Standard Chartered,,We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and…,
"Executive - HR
new",Leo Primecomp,,"Ensuring the daily House Keeping by the contractors and the shop floor and office are clean and very neat.
Qualifications : BLM/Any UG.
Experience level : 0-2.","₹10,000 a month"
